route,operator,flights_in_season,route_total,share_pct
BENGALURU-VIJAYAWADA,Air India Express,415.1428571428571,2065.285714285714,20.1
BENGALURU-VISAKHAPATNAM,IndiGo,828.8571428571429,1653.7142857142858,50.12
BENGALURU-VISAKHAPATNAM,Air India Express,824.8571428571429,1653.7142857142858,49.88
BHATINDA-DELHI,Alliance Air,297.1428571428571,297.1428571428571,100.0
BHAVNAGAR-NAVI MUMBAI,IndiGo,836.0,836.0,100.0
BHOPAL-DELHI,IndiGo,1263.142857142857,2511.428571428572,50.3
BHOPAL-DELHI,Air India,1248.2857142857142,2511.428571428572,49.7
BHOPAL-HYDERABAD,IndiGo,836.0,836.0,100.0
BHOPAL-MUMBAI,IndiGo,835.0,1253.0,66.64
BHOPAL-MUMBAI,Air India,418.0,1253.0,33.36
BHOPAL-NAVI MUMBAI,IndiGo,418.0,418.0,100.0
BHOPAL-PUNE,IndiGo,417.1428571428571,417.1428571428571,100.0
BHOPAL-RAIPUR,IndiGo,418.0,418.0,100.0
BHUBANESWAR-CHENNAI,IndiGo,834.2857142857142,834.2857142857142,100.0
BHUBANESWAR-DELHI,IndiGo,1672.0,4180.142857142857,40.0
BHUBANESWAR-DELHI,Air India,1254.0,4180.142857142857,30.0
BHUBANESWAR-DELHI,Air India Express,1254.142857142857,4180.142857142857,30.0
BHUBANESWAR-GUWAHATI,IndiGo,417.1428571428571,417.1428571428571,100.0
BHUBANESWAR-HYDERABAD,IndiGo,1666.5714285714284,1666.5714285714284,100.0
BHUBANESWAR-INDORE,IndiGo,0.1428571428571428,0.1428571428571428,100.0
BHUBANESWAR-JAMSHEDPUR,GSEC Monarch & Deccan Aviation,417.0,417.0,100.0
BHUBANESWAR-JEYPORE,GSEC Monarch & Deccan Aviation,835.0,835.0,100.0
BHUBANESWAR-JHARSUGUDA,Ghodawat Enterprises (Fly91),209.0,209.0,100.0
BHUBANESWAR-KOLKATA,IndiGo,1666.2857142857142,1666.2857142857142,100.0
BHUBANESWAR-MUMBAI,IndiGo,1253.142857142857,2089.142857142857,59.98
BHUBANESWAR-MUMBAI,Air India Express,836.0,2089.142857142857,40.02
BHUBANESWAR-PATNA,IndiGo,418.0,418.0,100.0
BHUBANESWAR-PRAYAGRAJ,IndiGo,177.42857142857144,177.42857142857144,100.0
BHUBANESWAR-PUNE,Air India Express,418.0,418.0,100.0
BHUBANESWAR-RAIPUR,IndiGo,418.0,418.0,100.0
BHUBANESWAR-RANCHI,IndiGo,327.1428571428572,327.1428571428572,100.0
BHUBANESWAR-ROURKELA,GSEC Monarch & Deccan Aviation,418.0,418.0,100.0
BHUBANESWAR-UTKELA,GSEC Monarch & Deccan Aviation,835.0,835.0,100.0
BHUBANESWAR-VARANASI,IndiGo,237.7142857142857,237.7142857142857,100.0
BHUBANESWAR-VISAKHAPATNAM,IndiGo,103.57142857142856,103.57142857142856,100.0
BHUJ-DELHI,Air India,418.0,744.0,56.18
BHUJ-DELHI,IndiGo,326.0,744.0,43.82
BHUJ-MUMBAI,Air India,774.5714285714286,1100.5714285714284,70.38
BHUJ-MUMBAI,IndiGo,326.0,1100.5714285714284,29.62
BHUJ-SURAT,Ghodawat Enterprises (Fly91),357.42857142857144,357.42857142857144,100.0
BIKANER-DELHI,IndiGo,418.0,418.0,100.0
BILASPUR-DELHI,Alliance Air,178.71428571428572,178.71428571428572,100.0
BILASPUR-JABALPUR,Alliance Air,119.42857142857144,119.42857142857144,100.0
BILASPUR-KOLKATA,Alliance Air,119.42857142857144,119.42857142857144,100.0
BILASPUR-PRAYAGRAJ,Alliance Air,59.71428571428572,59.71428571428572,100.0
CHANDIGARH-CHENNAI,IndiGo,418.0,418.0,100.0
CHANDIGARH-DELHI,Air India,2025.857142857143,3365.142857142857,60.2
CHANDIGARH-DELHI,IndiGo,1221.5714285714284,3365.142857142857,36.3
CHANDIGARH-DELHI,Alliance Air,117.71428571428572,3365.142857142857,3.5
CHANDIGARH-DHARAMSALA,IndiGo,236.57142857142856,236.57142857142856,100.0
CHANDIGARH-GOA,IndiGo,418.0,418.0,100.0
CHANDIGARH-HISSAR,Alliance Air,59.71428571428572,59.71428571428572,100.0
CHANDIGARH-HYDERABAD,IndiGo,830.0,830.0,100.0
CHANDIGARH-INDORE,IndiGo,356.57142857142856,356.57142857142856,100.0
CHANDIGARH-JAIPUR,IndiGo,1191.142857142857,1191.142857142857,100.0
CHANDIGARH-JAMMU,IndiGo,178.28571428571428,178.28571428571428,100.0
CHANDIGARH-KOLKATA,IndiGo,418.0,418.0,100.0
CHANDIGARH-LEH,Air India,116.28571428571428,116.28571428571428,100.0
CHANDIGARH-LUCKNOW,IndiGo,415.4285714285714,415.4285714285714,100.0
CHANDIGARH-MUMBAI,IndiGo,1191.5714285714284,2261.8571428571427,52.68
CHANDIGARH-MUMBAI,Air India,1070.2857142857142,2261.8571428571427,47.32
CHANDIGARH-NAVI MUMBAI,IndiGo,417.1428571428571,417.1428571428571,100.0
CHANDIGARH-PATNA,IndiGo,415.4285714285714,415.4285714285714,100.0
CHANDIGARH-PUNE,IndiGo,418.0,418.0,100.0
CHANDIGARH-SRINAGAR,IndiGo,887.2857142857143,887.2857142857143,100.0
CHENNAI-COIMBATORE,IndiGo,3341.714285714286,3341.714285714286,100.0
